Region,Año,Hombre,Mujer,Total
España (ES),2021,18.05,5.89,11.58
Andalucía (AN),2021,20.58,7.61,13.7
Aragón (AR),2021,14.64,4.12,9.08
"Asturias, Principado de (AS)",2021,17.78,6.08,11.42
"Balears, Illes (IB)",2021,18.38,7.09,12.46
Canarias (CN),2021,18.45,6.97,12.51
Cantabria (CB),2021,18.09,5.65,11.37
Castilla y León (CL),2021,18.19,5.48,11.62
Castilla - La Mancha (CM),2021,12.31,4.26,8.15
Cataluña (CT),2021,20.78,6.42,13.07
Comunitat Valenciana (VC),2021,18.49,5.62,11.67
Extremadura (EX),2021,18.34,5.65,11.75
Galicia (GA),2021,18.11,5.48,11.39
"Madrid, Comunidad de (MD)",2021,14.56,4.61,9.09
"Murcia, Región de (MC)",2021,21.37,7.17,13.86
"Navarra, C. Foral de (NC)",2021,16.63,5.26,10.73
País Vasco (PV),2021,15.14,4.51,9.48
La Rioja (RI),2021,15.63,4.76,10.02
Ceuta (CE),2021,10.91,4.48,7.75
Melilla (ML),2021,19.18,10.36,14.14
España (ES),2017,18.44,5.94,11.79
Andalucía (AN),2017,19.26,7.05,12.79
Aragón (AR),2017,15.06,4.66,9.57
"Asturias, Principado de (AS)",2017,17.98,6.91,12.0
"Balears, Illes (IB)",2017,18.27,6.69,12.24
Canarias (CN),2017,20.56,7.4,13.75
Cantabria (CB),2017,15.26,4.75,9.59
Castilla y León (CL),2017,19.23,5.57,12.1
Castilla - La Mancha (CM),2017,15.36,4.86,9.91
Cataluña (CT),2017,21.23,6.21,13.19
Comunitat Valenciana (VC),2017,21.15,6.82,13.53
Extremadura (EX),2017,16.34,6.27,11.11
Galicia (GA),2017,17.43,5.27,10.95
"Madrid, Comunidad de (MD)",2017,15.73,4.79,9.69
"Murcia, Región de (MC)",2017,19.74,6.94,13.01
"Navarra, C. Foral de (NC)",2017,16.41,4.49,10.17
País Vasco (PV),2017,13.69,3.91,8.51
La Rioja (RI),2017,18.6,6.36,12.25
Ceuta (CE),2017,20.51,7.78,13.53
Melilla (ML),2017,25.52,12.8,18.49
España (ES),2019,18.85,6.12,12.08
Andalucía (AN),2019,21.78,8.05,14.5
Aragón (AR),2019,14.79,4.38,9.33
"Asturias, Principado de (AS)",2019,16.07,5.1,10.09
"Balears, Illes (IB)",2019,17.96,6.97,12.26
Canarias (CN),2019,20.97,7.28,13.82
Cantabria (CB),2019,18.3,5.2,11.12
Castilla y León (CL),2019,20.39,5.95,12.87
Castilla - La Mancha (CM),2019,17.27,5.16,11.04
Cataluña (CT),2019,21.03,6.65,13.35
Comunitat Valenciana (VC),2019,19.06,6.38,12.33
Extremadura (EX),2019,20.28,6.02,12.89
Galicia (GA),2019,17.17,5.14,10.77
"Madrid, Comunidad de (MD)",2019,15.01,4.5,9.22
"Murcia, Región de (MC)",2019,23.01,7.51,14.77
"Navarra, C. Foral de (NC)",2019,17.87,5.57,11.54
País Vasco (PV),2019,14.07,4.63,9.06
La Rioja (RI),2019,17.39,5.71,11.36
Ceuta (CE),2019,13.96,6.86,10.36
Melilla (ML),2019,24.5,12.02,18.27
España (ES),2020,16.97,5.39,10.81
Andalucía (AN),2020,18.97,6.84,12.55
Aragón (AR),2020,13.09,4.31,8.47
"Asturias, Principado de (AS)",2020,16.53,6.02,10.85
"Balears, Illes (IB)",2020,17.25,5.7,11.17
Canarias (CN),2020,18.24,6.73,12.26
Cantabria (CB),2020,16.63,5.9,10.81
Castilla y León (CL),2020,17.17,5.37,11.06
Castilla - La Mancha (CM),2020,12.2,3.89,7.87
Cataluña (CT),2020,19.23,5.62,11.93
Comunitat Valenciana (VC),2020,17.08,5.34,10.85
Extremadura (EX),2020,16.75,5.52,10.96
Galicia (GA),2020,17.27,5.11,10.77
"Madrid, Comunidad de (MD)",2020,13.73,3.95,8.34
"Murcia, Región de (MC)",2020,21.86,6.44,13.73
"Navarra, C. Foral de (NC)",2020,15.65,4.93,10.06
País Vasco (PV),2020,13.85,4.19,8.71
La Rioja (RI),2020,17.52,4.68,10.92
Ceuta (CE),2020,14.0,5.89,9.86
Melilla (ML),2020,29.93,12.37,20.57
España (ES),2018,18.81,5.95,11.97
Andalucía (AN),2018,20.43,7.41,13.53
Aragón (AR),2018,15.41,3.99,9.46
"Asturias, Principado de (AS)",2018,18.35,6.15,11.67
"Balears, Illes (IB)",2018,18.62,5.68,11.88
Canarias (CN),2018,20.86,8.21,14.28
Cantabria (CB),2018,15.23,4.82,9.61
Castilla y León (CL),2018,19.98,5.88,12.64
Castilla - La Mancha (CM),2018,14.35,4.87,9.44
Cataluña (CT),2018,21.31,6.41,13.37
Comunitat Valenciana (VC),2018,20.93,6.36,13.18
Extremadura (EX),2018,20.96,6.35,13.37
Galicia (GA),2018,17.46,5.11,10.85
"Madrid, Comunidad de (MD)",2018,15.29,4.72,9.49
"Murcia, Región de (MC)",2018,21.6,6.86,13.77
"Navarra, C. Foral de (NC)",2018,18.32,4.97,11.34
País Vasco (PV),2018,13.6,3.97,8.45
La Rioja (RI),2018,19.51,6.79,13.02
Ceuta (CE),2018,16.5,4.06,10.14
Melilla (ML),2018,31.18,10.63,19.98
