Region,Año,Hombre,Mujer,Total
España (ES),2020,4.88,2.19,3.47
Andalucía (AN),2020,5.9,3.07,4.42
Aragón (AR),2020,4.63,1.81,3.17
"Asturias, Principado de (AS)",2020,3.59,1.15,2.28
"Balears, Illes (IB)",2020,5.2,2.94,4.05
Canarias (CN),2020,4.57,2.83,3.68
Cantabria (CB),2020,3.47,1.42,2.39
Castilla y León (CL),2020,4.77,1.65,3.15
Castilla - La Mancha (CM),2020,1.81,0.69,1.24
Cataluña (CT),2020,6.12,2.44,4.21
Comunitat Valenciana (VC),2020,6.18,3.21,4.63
Extremadura (EX),2020,2.46,0.71,1.56
Galicia (GA),2020,5.27,2.32,3.69
"Madrid, Comunidad de (MD)",2020,3.75,1.38,2.48
"Murcia, Región de (MC)",2020,3.47,1.22,2.33
"Navarra, C. Foral de (NC)",2020,3.83,1.9,2.83
País Vasco (PV),2020,3.81,1.81,2.76
La Rioja (RI),2020,3.16,1.23,2.17
España (ES),2018,4.81,2.08,3.38
Andalucía (AN),2018,6.47,3.14,4.73
Aragón (AR),2018,4.99,1.77,3.32
"Asturias, Principado de (AS)",2018,3.63,1.03,2.23
"Balears, Illes (IB)",2018,5.42,2.87,4.12
Canarias (CN),2018,4.4,2.67,3.51
Cantabria (CB),2018,3.5,1.37,2.37
Castilla y León (CL),2018,4.95,1.61,3.21
Castilla - La Mancha (CM),2018,2.29,0.86,1.56
Cataluña (CT),2018,4.43,1.8,3.06
Comunitat Valenciana (VC),2018,6.39,3.23,4.74
Extremadura (EX),2018,2.51,0.71,1.58
Galicia (GA),2018,5.36,2.35,3.76
"Madrid, Comunidad de (MD)",2018,3.92,1.3,2.52
"Murcia, Región de (MC)",2018,3.7,1.16,2.41
"Navarra, C. Foral de (NC)",2018,4.15,1.83,2.95
País Vasco (PV),2018,3.93,1.74,2.78
La Rioja (RI),2018,3.43,1.34,2.35
España (ES),2021,3.57,1.83,2.69
Andalucía (AN),2021,5.36,3.29,4.3
Aragón (AR),2021,3.06,1.33,2.21
"Asturias, Principado de (AS)",2021,2.33,0.86,1.58
"Balears, Illes (IB)",2021,3.73,2.28,3.01
Canarias (CN),2021,3.57,2.3,2.92
Cantabria (CB),2021,2.39,1.13,1.75
Castilla y León (CL),2021,3.33,1.27,2.3
Castilla - La Mancha (CM),2021,1.35,0.61,0.98
Cataluña (CT),2021,4.07,1.8,2.95
Comunitat Valenciana (VC),2021,4.52,2.59,3.55
Extremadura (EX),2021,1.81,0.57,1.18
Galicia (GA),2021,3.9,1.89,2.86
"Madrid, Comunidad de (MD)",2021,2.43,1.03,1.71
"Murcia, Región de (MC)",2021,2.48,0.99,1.74
"Navarra, C. Foral de (NC)",2021,2.43,1.38,1.92
País Vasco (PV),2021,2.5,1.34,1.91
La Rioja (RI),2021,2.15,0.93,1.55
España (ES),2017,4.9,2.03,3.4
Andalucía (AN),2017,6.58,3.11,4.76
Aragón (AR),2017,5.12,1.73,3.36
"Asturias, Principado de (AS)",2017,3.65,0.96,2.2
"Balears, Illes (IB)",2017,5.39,2.71,4.01
Canarias (CN),2017,4.4,2.63,3.49
Cantabria (CB),2017,3.54,1.31,2.36
Castilla y León (CL),2017,5.01,1.59,3.23
Castilla - La Mancha (CM),2017,2.52,0.9,1.69
Cataluña (CT),2017,4.43,1.68,2.99
Comunitat Valenciana (VC),2017,6.53,3.18,4.78
Extremadura (EX),2017,2.71,0.69,1.66
Galicia (GA),2017,5.25,2.25,3.65
"Madrid, Comunidad de (MD)",2017,4.16,1.34,2.65
"Murcia, Región de (MC)",2017,3.93,1.14,2.51
"Navarra, C. Foral de (NC)",2017,4.25,1.79,2.98
País Vasco (PV),2017,3.97,1.68,2.76
La Rioja (RI),2017,3.42,1.31,2.33
España (ES),2019,5.09,2.23,3.6
Andalucía (AN),2019,6.24,3.11,4.61
Aragón (AR),2019,4.95,1.88,3.36
"Asturias, Principado de (AS)",2019,3.74,1.13,2.34
"Balears, Illes (IB)",2019,5.42,3.05,4.21
Canarias (CN),2019,4.63,2.85,3.72
Cantabria (CB),2019,3.51,1.42,2.4
Castilla y León (CL),2019,5.03,1.7,3.3
Castilla - La Mancha (CM),2019,2.33,0.94,1.62
Cataluña (CT),2019,6.38,2.48,4.35
Comunitat Valenciana (VC),2019,6.34,3.26,4.74
Extremadura (EX),2019,2.46,0.72,1.56
Galicia (GA),2019,5.34,2.36,3.75
"Madrid, Comunidad de (MD)",2019,3.87,1.37,2.54
"Murcia, Región de (MC)",2019,3.59,1.2,2.37
"Navarra, C. Foral de (NC)",2019,4.05,1.9,2.94
País Vasco (PV),2019,4.09,1.92,2.95
La Rioja (RI),2019,3.33,1.26,2.26
