Region,Año,Hombre,Mujer,Total
España (ES),2020,79.47,85.02,82.25
Andalucía (AN),2020,78.99,84.4,81.68
Aragón (AR),2020,79.7,84.91,82.28
"Asturias, Principado de (AS)",2020,79.1,85.03,82.11
"Balears, Illes (IB)",2020,81.37,86.29,83.83
Canarias (CN),2020,80.81,85.89,83.34
Cantabria (CB),2020,80.43,85.73,83.13
Castilla y León (CL),2020,79.61,85.2,82.31
Castilla - La Mancha (CM),2020,78.35,83.7,80.92
Cataluña (CT),2020,79.39,84.85,82.14
Comunitat Valenciana (VC),2020,79.9,85.24,82.57
Extremadura (EX),2020,79.05,84.57,81.74
Galicia (GA),2020,80.57,86.64,83.64
"Madrid, Comunidad de (MD)",2020,79.24,84.84,82.13
"Murcia, Región de (MC)",2020,79.68,85.17,82.4
"Navarra, C. Foral de (NC)",2020,80.66,85.93,83.29
País Vasco (PV),2020,80.38,86.25,83.37
La Rioja (RI),2020,79.53,85.42,82.41
Ceuta (CE),2020,77.73,81.45,79.57
Melilla (ML),2020,77.73,81.45,79.57
España (ES),2018,80.43,86.08,83.29
Andalucía (AN),2018,79.23,84.64,81.94
Aragón (AR),2018,80.86,86.58,83.71
"Asturias, Principado de (AS)",2018,79.68,85.79,82.8
"Balears, Illes (IB)",2018,81.01,86.04,83.53
Canarias (CN),2018,79.94,85.16,82.53
Cantabria (CB),2018,80.38,86.65,83.54
Castilla y León (CL),2018,81.5,86.94,84.2
Castilla - La Mancha (CM),2018,81.15,86.26,83.67
Cataluña (CT),2018,80.75,86.48,83.67
Comunitat Valenciana (VC),2018,80.15,85.41,82.79
Extremadura (EX),2018,79.83,85.65,82.68
Galicia (GA),2018,80.24,86.38,83.34
"Madrid, Comunidad de (MD)",2018,82.49,88.01,85.43
"Murcia, Región de (MC)",2018,80.22,85.45,82.84
"Navarra, C. Foral de (NC)",2018,81.52,87.22,84.38
País Vasco (PV),2018,81.04,86.89,84.05
La Rioja (RI),2018,80.89,86.81,83.81
Ceuta (CE),2018,78.97,82.9,80.96
Melilla (ML),2018,78.97,82.9,80.96
España (ES),2021,80.25,86.12,83.2
Andalucía (AN),2021,78.87,84.36,81.6
Aragón (AR),2021,80.58,86.25,83.4
"Asturias, Principado de (AS)",2021,80.1,85.55,82.91
"Balears, Illes (IB)",2021,81.05,86.33,83.68
Canarias (CN),2021,80.68,85.8,83.22
Cantabria (CB),2021,80.84,87.04,83.97
Castilla y León (CL),2021,81.17,87.49,84.25
Castilla - La Mancha (CM),2021,80.41,86.11,83.18
Cataluña (CT),2021,80.62,86.55,83.62
Comunitat Valenciana (VC),2021,79.6,85.24,82.41
Extremadura (EX),2021,79.34,85.32,82.25
Galicia (GA),2021,80.65,86.9,83.79
"Madrid, Comunidad de (MD)",2021,82.08,88.17,85.28
"Murcia, Región de (MC)",2021,79.65,84.95,82.28
"Navarra, C. Foral de (NC)",2021,81.86,87.63,84.74
País Vasco (PV),2021,80.98,86.93,84.02
La Rioja (RI),2021,80.42,86.22,83.29
Ceuta (CE),2021,77.33,81.98,79.48
Melilla (ML),2021,77.33,81.98,79.48
España (ES),2017,80.43,86.0,83.25
Andalucía (AN),2017,79.43,84.7,82.08
Aragón (AR),2017,80.61,86.46,83.52
"Asturias, Principado de (AS)",2017,79.69,85.83,82.84
"Balears, Illes (IB)",2017,80.59,85.64,83.11
Canarias (CN),2017,80.53,85.55,83.04
Cantabria (CB),2017,80.54,86.63,83.63
Castilla y León (CL),2017,81.42,87.03,84.2
Castilla - La Mancha (CM),2017,80.7,85.79,83.2
Cataluña (CT),2017,80.76,86.41,83.64
Comunitat Valenciana (VC),2017,80.16,85.43,82.81
Extremadura (EX),2017,79.67,85.27,82.42
Galicia (GA),2017,80.39,86.32,83.4
"Madrid, Comunidad de (MD)",2017,82.3,87.51,85.08
"Murcia, Región de (MC)",2017,79.98,85.26,82.61
"Navarra, C. Foral de (NC)",2017,81.28,86.97,84.13
País Vasco (PV),2017,80.87,86.99,84.0
La Rioja (RI),2017,81.21,86.85,84.01
Ceuta (CE),2017,78.04,83.35,80.65
Melilla (ML),2017,78.04,83.35,80.65
España (ES),2019,80.88,86.56,83.76
Andalucía (AN),2019,79.76,85.25,82.52
Aragón (AR),2019,81.44,87.07,84.26
"Asturias, Principado de (AS)",2019,79.98,86.09,83.11
"Balears, Illes (IB)",2019,81.63,86.49,84.09
Canarias (CN),2019,80.85,86.05,83.44
Cantabria (CB),2019,80.98,86.62,83.86
Castilla y León (CL),2019,81.71,87.46,84.55
Castilla - La Mancha (CM),2019,81.38,86.34,83.83
Cataluña (CT),2019,81.25,87.04,84.2
Comunitat Valenciana (VC),2019,80.59,86.2,83.41
Extremadura (EX),2019,80.08,86.06,83.01
Galicia (GA),2019,80.87,86.95,83.95
"Madrid, Comunidad de (MD)",2019,82.9,88.12,85.69
"Murcia, Región de (MC)",2019,80.22,85.3,82.76
"Navarra, C. Foral de (NC)",2019,82.37,87.41,84.93
País Vasco (PV),2019,81.28,87.39,84.41
La Rioja (RI),2019,81.18,86.98,84.06
Ceuta (CE),2019,78.86,83.87,81.37
Melilla (ML),2019,78.86,83.87,81.37
