Region,Año,Hombre,Mujer,Total
España (ES),2021,35.57,8.16,20.25
Andalucía (AN),2021,40.94,10.63,25.25
Aragón (AR),2021,28.69,5.64,16.95
"Asturias, Principado de (AS)",2021,40.22,10.82,24.8
"Balears, Illes (IB)",2021,25.3,5.66,15.25
Canarias (CN),2021,47.34,15.1,30.9
Cantabria (CB),2021,24.29,4.01,13.76
Castilla y León (CL),2021,34.85,7.26,21.06
Castilla - La Mancha (CM),2021,33.89,7.33,20.61
Cataluña (CT),2021,28.64,5.61,16.61
Comunitat Valenciana (VC),2021,43.99,9.44,26.05
Extremadura (EX),2021,37.89,8.41,23.1
Galicia (GA),2021,36.1,9.28,22.15
"Madrid, Comunidad de (MD)",2021,26.74,5.83,15.5
"Murcia, Región de (MC)",2021,36.64,8.21,22.05
"Navarra, C. Foral de (NC)",2021,29.21,4.85,16.81
País Vasco (PV),2021,29.12,6.07,17.13
La Rioja (RI),2021,43.85,7.78,25.65
Ceuta (CE),2021,53.55,10.54,32.43
Melilla (ML),2021,55.59,21.47,38.82
España (ES),2017,37.26,8.85,22.5
Andalucía (AN),2017,45.22,12.08,28.04
Aragón (AR),2017,33.01,9.13,20.91
"Asturias, Principado de (AS)",2017,50.02,11.6,29.77
"Balears, Illes (IB)",2017,32.62,7.77,19.88
Canarias (CN),2017,48.42,14.81,31.25
Cantabria (CB),2017,27.51,6.63,16.78
Castilla y León (CL),2017,33.52,7.75,20.61
Castilla - La Mancha (CM),2017,30.29,6.07,18.09
Cataluña (CT),2017,30.59,6.27,17.86
Comunitat Valenciana (VC),2017,39.01,8.75,23.29
Extremadura (EX),2017,40.22,7.96,23.98
Galicia (GA),2017,33.68,7.58,20.04
"Madrid, Comunidad de (MD)",2017,27.27,6.98,16.33
"Murcia, Región de (MC)",2017,36.74,7.42,21.67
"Navarra, C. Foral de (NC)",2017,34.5,5.59,19.79
País Vasco (PV),2017,31.93,6.83,18.9
La Rioja (RI),2017,24.21,3.57,13.76
Ceuta (CE),2017,53.72,38.24,46.21
Melilla (ML),2017,49.63,9.36,28.84
España (ES),2019,34.51,7.77,20.62
Andalucía (AN),2019,40.78,10.37,25.0
Aragón (AR),2019,30.52,6.44,18.23
"Asturias, Principado de (AS)",2019,49.52,10.37,28.93
"Balears, Illes (IB)",2019,26.34,6.27,16.06
Canarias (CN),2019,47.32,12.86,29.74
Cantabria (CB),2019,27.9,5.65,16.33
Castilla y León (CL),2019,31.49,7.06,19.27
Castilla - La Mancha (CM),2019,30.76,6.51,18.58
Cataluña (CT),2019,27.53,4.72,15.59
Comunitat Valenciana (VC),2019,35.24,8.67,21.44
Extremadura (EX),2019,34.51,8.18,21.24
Galicia (GA),2019,32.5,7.06,19.23
"Madrid, Comunidad de (MD)",2019,26.59,5.92,15.45
"Murcia, Región de (MC)",2019,35.38,7.74,21.12
"Navarra, C. Foral de (NC)",2019,28.66,5.27,16.79
País Vasco (PV),2019,26.94,6.38,16.21
La Rioja (RI),2019,28.62,8.11,18.18
Ceuta (CE),2019,32.2,20.43,26.57
Melilla (ML),2019,27.81,10.89,19.45
España (ES),2020,35.47,7.68,21.04
Andalucía (AN),2020,42.35,10.32,25.74
Aragón (AR),2020,35.32,6.21,20.41
"Asturias, Principado de (AS)",2020,48.71,10.05,28.36
"Balears, Illes (IB)",2020,24.22,3.89,13.79
Canarias (CN),2020,46.86,13.93,30.06
Cantabria (CB),2020,22.6,6.14,14.05
Castilla y León (CL),2020,32.97,7.24,20.1
Castilla - La Mancha (CM),2020,34.08,6.55,20.27
Cataluña (CT),2020,27.6,4.99,15.76
Comunitat Valenciana (VC),2020,39.27,8.46,23.28
Extremadura (EX),2020,36.1,8.65,22.3
Galicia (GA),2020,39.33,6.31,22.13
"Madrid, Comunidad de (MD)",2020,26.93,6.55,15.99
"Murcia, Región de (MC)",2020,35.65,7.18,20.99
"Navarra, C. Foral de (NC)",2020,24.9,5.38,14.99
País Vasco (PV),2020,31.48,5.94,18.15
La Rioja (RI),2020,42.56,8.18,25.26
Ceuta (CE),2020,65.05,28.65,47.14
Melilla (ML),2020,45.38,25.68,35.66
España (ES),2018,36.25,8.38,21.79
Andalucía (AN),2018,43.25,11.0,26.56
Aragón (AR),2018,34.41,7.98,20.96
"Asturias, Principado de (AS)",2018,46.56,11.69,28.22
"Balears, Illes (IB)",2018,31.96,6.36,18.87
Canarias (CN),2018,53.01,15.96,34.16
Cantabria (CB),2018,32.93,5.09,18.51
Castilla y León (CL),2018,32.45,6.25,19.36
Castilla - La Mancha (CM),2018,28.08,6.49,17.28
Cataluña (CT),2018,29.98,5.16,17.01
Comunitat Valenciana (VC),2018,36.45,8.93,22.16
Extremadura (EX),2018,35.4,9.06,22.18
Galicia (GA),2018,33.55,7.43,19.89
"Madrid, Comunidad de (MD)",2018,28.17,6.59,16.54
"Murcia, Región de (MC)",2018,33.17,7.42,19.97
"Navarra, C. Foral de (NC)",2018,23.76,5.22,14.46
País Vasco (PV),2018,28.96,7.12,17.61
La Rioja (RI),2018,33.73,7.42,20.4
Ceuta (CE),2018,19.49,22.57,21.21
Melilla (ML),2018,45.43,13.6,30.09
