Region,Año,Hombre,Mujer,Total
España (ES),2021,24.68,15.38,19.64
Andalucía (AN),2021,25.14,15.46,19.93
Aragón (AR),2021,26.24,16.18,20.82
"Asturias, Principado de (AS)",2021,25.71,15.99,20.33
"Balears, Illes (IB)",2021,21.0,12.65,16.58
Canarias (CN),2021,20.36,13.76,16.89
Cantabria (CB),2021,25.73,14.01,19.18
Castilla y León (CL),2021,23.14,14.44,18.51
Castilla - La Mancha (CM),2021,18.42,10.98,14.52
Cataluña (CT),2021,25.3,15.4,19.87
Comunitat Valenciana (VC),2021,26.91,16.66,21.41
Extremadura (EX),2021,23.58,14.87,19.04
Galicia (GA),2021,22.4,15.56,18.69
"Madrid, Comunidad de (MD)",2021,24.18,15.09,19.1
"Murcia, Región de (MC)",2021,32.19,18.36,24.78
"Navarra, C. Foral de (NC)",2021,23.18,15.41,18.99
País Vasco (PV),2021,27.82,18.12,22.47
La Rioja (RI),2021,26.7,13.53,19.73
Ceuta (CE),2021,22.3,16.05,18.95
Melilla (ML),2021,13.18,10.94,12.07
España (ES),2017,24.78,15.59,19.78
Andalucía (AN),2017,24.19,14.71,19.06
Aragón (AR),2017,23.22,14.26,18.38
"Asturias, Principado de (AS)",2017,28.25,17.82,22.37
"Balears, Illes (IB)",2017,20.99,12.33,16.31
Canarias (CN),2017,24.37,15.88,19.86
Cantabria (CB),2017,24.25,14.73,19.06
Castilla y León (CL),2017,20.08,12.68,16.13
Castilla - La Mancha (CM),2017,19.86,12.69,16.08
Cataluña (CT),2017,26.39,15.95,20.69
Comunitat Valenciana (VC),2017,28.62,18.09,22.93
Extremadura (EX),2017,23.23,15.72,19.27
Galicia (GA),2017,22.81,15.27,18.75
"Madrid, Comunidad de (MD)",2017,24.68,16.22,19.91
"Murcia, Región de (MC)",2017,27.76,17.57,22.28
"Navarra, C. Foral de (NC)",2017,25.81,14.93,19.82
País Vasco (PV),2017,26.69,15.85,20.69
La Rioja (RI),2017,22.5,15.25,18.64
Ceuta (CE),2017,20.78,18.26,19.89
Melilla (ML),2017,29.18,23.66,26.29
España (ES),2019,25.1,15.99,20.17
Andalucía (AN),2019,27.04,16.55,21.4
Aragón (AR),2019,21.32,15.18,17.95
"Asturias, Principado de (AS)",2019,25.9,16.74,20.91
"Balears, Illes (IB)",2019,19.48,12.75,15.94
Canarias (CN),2019,22.05,15.38,18.56
Cantabria (CB),2019,22.32,14.48,18.06
Castilla y León (CL),2019,23.68,15.04,19.07
Castilla - La Mancha (CM),2019,22.21,14.74,18.33
Cataluña (CT),2019,25.65,16.14,20.43
Comunitat Valenciana (VC),2019,26.7,17.13,21.56
Extremadura (EX),2019,26.61,15.81,20.87
Galicia (GA),2019,23.4,15.03,18.91
"Madrid, Comunidad de (MD)",2019,24.52,16.43,19.96
"Murcia, Región de (MC)",2019,29.2,17.53,22.94
"Navarra, C. Foral de (NC)",2019,24.9,14.51,19.27
País Vasco (PV),2019,25.49,15.31,19.9
La Rioja (RI),2019,25.79,14.22,19.61
Ceuta (CE),2019,23.68,18.54,21.32
Melilla (ML),2019,29.13,14.96,21.32
España (ES),2020,22.4,14.11,17.91
Andalucía (AN),2020,23.71,14.28,18.67
Aragón (AR),2020,20.26,13.17,16.47
"Asturias, Principado de (AS)",2020,23.58,16.04,19.55
"Balears, Illes (IB)",2020,17.92,11.63,14.53
Canarias (CN),2020,20.73,14.24,17.33
Cantabria (CB),2020,19.69,13.51,16.33
Castilla y León (CL),2020,21.17,13.25,16.96
Castilla - La Mancha (CM),2020,16.05,9.67,12.69
Cataluña (CT),2020,23.45,14.1,18.33
Comunitat Valenciana (VC),2020,23.86,14.98,19.07
Extremadura (EX),2020,25.14,14.18,19.33
Galicia (GA),2020,21.8,15.07,18.17
"Madrid, Comunidad de (MD)",2020,20.77,13.69,16.81
"Murcia, Región de (MC)",2020,27.84,16.99,22.0
"Navarra, C. Foral de (NC)",2020,20.87,13.92,17.1
País Vasco (PV),2020,23.69,15.03,18.95
La Rioja (RI),2020,23.44,12.88,17.64
Ceuta (CE),2020,27.15,18.53,23.07
Melilla (ML),2020,24.15,12.95,18.17
España (ES),2018,25.25,15.78,20.1
Andalucía (AN),2018,25.15,14.66,19.48
Aragón (AR),2018,22.93,13.89,18.09
"Asturias, Principado de (AS)",2018,29.22,19.05,23.54
"Balears, Illes (IB)",2018,21.41,12.39,16.52
Canarias (CN),2018,23.96,16.17,19.88
Cantabria (CB),2018,21.32,14.34,17.58
Castilla y León (CL),2018,23.45,14.55,18.72
Castilla - La Mancha (CM),2018,18.82,12.05,15.22
Cataluña (CT),2018,26.49,16.45,21.01
Comunitat Valenciana (VC),2018,29.11,18.0,23.09
Extremadura (EX),2018,24.56,15.1,19.65
Galicia (GA),2018,22.8,14.95,18.53
"Madrid, Comunidad de (MD)",2018,25.03,16.03,19.96
"Murcia, Región de (MC)",2018,28.11,16.77,21.95
"Navarra, C. Foral de (NC)",2018,26.71,16.53,21.22
País Vasco (PV),2018,26.43,17.38,21.39
La Rioja (RI),2018,24.54,15.06,19.47
Ceuta (CE),2018,23.24,18.4,20.13
Melilla (ML),2018,27.32,17.95,22.43
