id,Region,Año,Total
1,España (ES),2021,118162.0
2,Andalucía (AN),2021,21578.0
3,Aragón (AR),2021,2774.0
4,"Asturias, Principado de (AS)",2021,2401.0
5,"Balears, Illes (IB)",2021,3509.0
6,Canarias (CN),2021,5336.0
7,Cantabria (CB),2021,1303.0
8,Castilla y León (CL),2021,4340.0
9,Castilla - La Mancha (CM),2021,3330.0
10,Cataluña (CT),2021,27891.0
11,Comunitat Valenciana (VC),2021,9882.0
12,Extremadura (EX),2021,1735.0
13,Galicia (GA),2021,5377.0
14,"Madrid, Comunidad de (MD)",2021,16899.0
15,"Murcia, Región de (MC)",2021,3535.0
16,"Navarra, C. Foral de (NC)",2021,1111.0
17,País Vasco (PV),2021,5650.0
18,La Rioja (RI),2021,719.0
19,Ceuta (CE),2021,364.0
20,Melilla (ML),2021,428.0
1,España (ES),2019,139558.0
2,Andalucía (AN),2019,25171.0
3,Aragón (AR),2019,3019.0
4,"Asturias, Principado de (AS)",2019,2720.0
5,"Balears, Illes (IB)",2019,4413.0
6,Canarias (CN),2019,6146.0
7,Cantabria (CB),2019,1332.0
8,Castilla y León (CL),2019,5205.0
9,Castilla - La Mancha (CM),2019,3790.0
10,Cataluña (CT),2019,34682.0
11,Comunitat Valenciana (VC),2019,10782.0
12,Extremadura (EX),2019,1973.0
13,Galicia (GA),2019,6498.0
14,"Madrid, Comunidad de (MD)",2019,21132.0
15,"Murcia, Región de (MC)",2019,3789.0
16,"Navarra, C. Foral de (NC)",2019,983.0
17,País Vasco (PV),2019,6234.0
18,La Rioja (RI),2019,755.0
19,Ceuta (CE),2019,458.0
20,Melilla (ML),2019,476.0
1,España (ES),2017,139092.0
2,Andalucía (AN),2017,22303.0
3,Aragón (AR),2017,3289.0
4,"Asturias, Principado de (AS)",2017,3197.0
5,"Balears, Illes (IB)",2017,5017.0
6,Canarias (CN),2017,5133.0
7,Cantabria (CB),2017,1017.0
8,Castilla y León (CL),2017,5877.0
9,Castilla - La Mancha (CM),2017,3783.0
10,Cataluña (CT),2017,35884.0
11,Comunitat Valenciana (VC),2017,10882.0
12,Extremadura (EX),2017,2137.0
13,Galicia (GA),2017,6716.0
14,"Madrid, Comunidad de (MD)",2017,20940.0
15,"Murcia, Región de (MC)",2017,3453.0
16,"Navarra, C. Foral de (NC)",2017,1156.0
17,País Vasco (PV),2017,6213.0
18,La Rioja (RI),2017,917.0
19,Ceuta (CE),2017,628.0
20,Melilla (ML),2017,620.0
1,España (ES),2018,138609.0
2,Andalucía (AN),2018,24200.0
3,Aragón (AR),2018,2915.0
4,"Asturias, Principado de (AS)",2018,2873.0
5,"Balears, Illes (IB)",2018,4642.0
6,Canarias (CN),2018,4960.0
7,Cantabria (CB),2018,971.0
8,Castilla y León (CL),2018,3649.0
9,Castilla - La Mancha (CM),2018,5869.0
10,Cataluña (CT),2018,35426.0
11,Comunitat Valenciana (VC),2018,10960.0
12,Extremadura (EX),2018,2068.0
13,Galicia (GA),2018,6267.0
14,"Madrid, Comunidad de (MD)",2018,21285.0
15,"Murcia, Región de (MC)",2018,3456.0
16,"Navarra, C. Foral de (NC)",2018,1067.0
17,País Vasco (PV),2018,6151.0
18,La Rioja (RI),2018,819.0
19,Ceuta (CE),2018,572.0
20,Melilla (ML),2018,459.0
1,España (ES),2022,127830.0
2,Andalucía (AN),2022,
3,Aragón (AR),2022,
4,"Asturias, Principado de (AS)",2022,
5,"Balears, Illes (IB)",2022,
6,Canarias (CN),2022,
7,Cantabria (CB),2022,
8,Castilla y León (CL),2022,
9,Castilla - La Mancha (CM),2022,
10,Cataluña (CT),2022,
11,Comunitat Valenciana (VC),2022,
12,Extremadura (EX),2022,
13,Galicia (GA),2022,
14,"Madrid, Comunidad de (MD)",2022,
15,"Murcia, Región de (MC)",2022,
16,"Navarra, C. Foral de (NC)",2022,
17,País Vasco (PV),2022,
18,La Rioja (RI),2022,
19,Ceuta (CE),2022,
20,Melilla (ML),2022,
1,España (ES),2020,94562.0
2,Andalucía (AN),2020,17456.0
3,Aragón (AR),2020,2173.0
4,"Asturias, Principado de (AS)",2020,2022.0
5,"Balears, Illes (IB)",2020,2690.0
6,Canarias (CN),2020,4665.0
7,Cantabria (CB),2020,1096.0
8,Castilla y León (CL),2020,3399.0
9,Castilla - La Mancha (CM),2020,2511.0
10,Cataluña (CT),2020,22530.0
11,Comunitat Valenciana (VC),2020,7237.0
12,Extremadura (EX),2020,1348.0
13,Galicia (GA),2020,4697.0
14,"Madrid, Comunidad de (MD)",2020,13322.0
15,"Murcia, Región de (MC)",2020,2789.0
16,"Navarra, C. Foral de (NC)",2020,705.0
17,País Vasco (PV),2020,4786.0
18,La Rioja (RI),2020,564.0
19,Ceuta (CE),2020,246.0
20,Melilla (ML),2020,326.0
