id,Region,Año,Hombre,Mujer,Total
1,España (ES),2021,2.74,2.35,2.55
2,Andalucía (AN),2021,3.19,2.74,2.97
3,Aragón (AR),2021,2.06,1.74,1.9
4,"Asturias, Principado de (AS)",2021,2.0,2.62,2.3
5,"Balears, Illes (IB)",2021,2.42,2.19,2.31
6,Canarias (CN),2021,2.43,3.25,2.83
7,Cantabria (CB),2021,5.37,4.35,4.87
8,Castilla y León (CL),2021,2.24,2.34,2.29
9,Castilla - La Mancha (CM),2021,3.21,2.69,2.96
10,Cataluña (CT),2021,2.47,1.71,2.1
11,Comunitat Valenciana (VC),2021,2.58,1.99,2.3
12,Extremadura (EX),2021,2.67,0.29,1.52
13,Galicia (GA),2021,2.24,2.36,2.3
14,"Madrid, Comunidad de (MD)",2021,2.48,2.58,2.53
15,"Murcia, Región de (MC)",2021,2.96,2.53,2.75
16,"Navarra, C. Foral de (NC)",2021,2.66,3.23,2.93
17,País Vasco (PV),2021,2.83,2.04,2.45
18,La Rioja (RI),2021,6.21,3.76,5.02
19,Ceuta (CE),2021,7.71,0.0,4.17
20,Melilla (ML),2021,2.08,6.62,4.29
1,España (ES),2019,2.89,2.38,2.65
2,Andalucía (AN),2019,3.4,2.69,3.05
3,Aragón (AR),2019,2.0,2.15,2.07
4,"Asturias, Principado de (AS)",2019,3.42,1.59,2.52
5,"Balears, Illes (IB)",2019,2.81,3.62,3.2
6,Canarias (CN),2019,2.64,2.74,2.69
7,Cantabria (CB),2019,1.09,1.17,1.13
8,Castilla y León (CL),2019,3.28,2.28,2.79
9,Castilla - La Mancha (CM),2019,3.53,2.84,3.2
10,Cataluña (CT),2019,2.99,2.09,2.55
11,Comunitat Valenciana (VC),2019,2.22,2.06,2.14
12,Extremadura (EX),2019,2.8,1.88,2.35
13,Galicia (GA),2019,2.08,1.59,1.85
14,"Madrid, Comunidad de (MD)",2019,2.43,2.0,2.22
15,"Murcia, Región de (MC)",2019,3.97,4.46,4.21
16,"Navarra, C. Foral de (NC)",2019,1.79,2.32,2.05
17,País Vasco (PV),2019,3.16,2.52,2.85
18,La Rioja (RI),2019,2.42,3.42,2.91
19,Ceuta (CE),2019,7.04,2.41,4.76
20,Melilla (ML),2019,10.79,1.7,6.47
1,España (ES),2017,2.98,2.44,2.72
2,Andalucía (AN),2017,3.49,2.73,3.12
3,Aragón (AR),2017,2.59,2.15,2.37
4,"Asturias, Principado de (AS)",2017,2.24,3.12,2.66
5,"Balears, Illes (IB)",2017,3.21,2.8,3.01
6,Canarias (CN),2017,3.7,2.35,3.04
7,Cantabria (CB),2017,1.89,2.5,2.19
8,Castilla y León (CL),2017,3.53,2.77,3.16
9,Castilla - La Mancha (CM),2017,2.88,2.57,2.73
10,Cataluña (CT),2017,2.52,2.32,2.43
11,Comunitat Valenciana (VC),2017,3.17,2.0,2.6
12,Extremadura (EX),2017,3.91,1.93,2.94
13,Galicia (GA),2017,2.22,2.23,2.22
14,"Madrid, Comunidad de (MD)",2017,2.47,2.52,2.49
15,"Murcia, Región de (MC)",2017,3.62,2.17,2.92
16,"Navarra, C. Foral de (NC)",2017,2.05,2.13,2.09
17,País Vasco (PV),2017,2.83,1.82,2.34
18,La Rioja (RI),2017,3.67,1.66,2.73
19,Ceuta (CE),2017,7.21,8.16,7.66
20,Melilla (ML),2017,8.38,9.58,8.94
1,España (ES),2018,2.85,2.52,2.69
2,Andalucía (AN),2018,3.17,2.9,3.04
3,Aragón (AR),2018,1.55,2.28,1.9
4,"Asturias, Principado de (AS)",2018,2.69,2.18,2.44
5,"Balears, Illes (IB)",2018,1.88,2.22,2.04
6,Canarias (CN),2018,4.3,3.95,4.13
7,Cantabria (CB),2018,1.04,4.26,2.63
8,Castilla y León (CL),2018,2.71,1.78,2.26
9,Castilla - La Mancha (CM),2018,2.22,2.45,2.34
10,Cataluña (CT),2018,2.64,2.2,2.42
11,Comunitat Valenciana (VC),2018,2.5,2.28,2.39
12,Extremadura (EX),2018,4.73,2.89,3.84
13,Galicia (GA),2018,2.58,2.12,2.36
14,"Madrid, Comunidad de (MD)",2018,3.15,2.22,2.69
15,"Murcia, Región de (MC)",2018,2.54,2.22,2.39
16,"Navarra, C. Foral de (NC)",2018,1.85,1.86,1.85
17,País Vasco (PV),2018,2.91,3.7,3.29
18,La Rioja (RI),2018,3.44,2.57,3.0
19,Ceuta (CE),2018,4.52,1.89,3.09
20,Melilla (ML),2018,5.82,7.66,6.72
1,España (ES),2020,2.37,2.84,2.61
2,Andalucía (AN),2020,3.37,2.5,2.95
3,Aragón (AR),2020,2.38,2.01,2.2
4,"Asturias, Principado de (AS)",2020,2.87,3.0,2.93
5,"Balears, Illes (IB)",2020,1.87,2.58,2.22
6,Canarias (CN),2020,2.08,3.1,2.58
7,Cantabria (CB),2020,2.83,3.65,3.23
8,Castilla y León (CL),2020,3.43,2.56,3.0
9,Castilla - La Mancha (CM),2020,3.33,1.94,2.65
10,Cataluña (CT),2020,2.85,2.06,2.46
11,Comunitat Valenciana (VC),2020,1.96,3.11,2.52
12,Extremadura (EX),2020,1.33,1.66,1.49
13,Galicia (GA),2020,3.74,1.6,2.69
14,"Madrid, Comunidad de (MD)",2020,2.72,2.0,2.37
15,"Murcia, Región de (MC)",2020,3.07,2.6,2.85
16,"Navarra, C. Foral de (NC)",2020,1.91,2.06,1.99
17,País Vasco (PV),2020,2.88,2.4,2.65
18,La Rioja (RI),2020,2.56,2.62,2.59
19,Ceuta (CE),2020,4.6,2.45,3.56
20,Melilla (ML),2020,2.07,4.18,3.12
