id,Region,Año,Hombre,Mujer,Total
1,España (ES),2019,8.84,13.09,11.01
2,Andalucía (AN),2019,3.96,6.8,5.41
3,Aragón (AR),2019,12.56,17.91,15.28
4,"Asturias, Principado de (AS)",2019,14.54,19.68,17.23
5,"Balears, Illes (IB)",2019,15.72,23.89,19.84
6,Canarias (CN),2019,16.6,24.32,20.52
7,Cantabria (CB),2019,13.06,17.48,15.33
8,Castilla y León (CL),2019,12.18,16.35,14.3
9,Castilla - La Mancha (CM),2019,2.23,2.8,2.51
10,Cataluña (CT),2019,7.35,10.58,8.99
11,Comunitat Valenciana (VC),2019,12.03,17.58,14.85
12,Extremadura (EX),2019,2.58,3.4,3.0
13,Galicia (GA),2019,8.11,10.85,9.53
14,"Madrid, Comunidad de (MD)",2019,10.33,17.09,13.84
15,"Murcia, Región de (MC)",2019,12.43,19.34,15.87
16,"Navarra, C. Foral de (NC)",2019,8.55,9.76,9.16
17,País Vasco (PV),2019,6.94,8.46,7.72
18,La Rioja (RI),2019,15.04,19.38,17.24
1,España (ES),2017,7.42,11.19,9.35
2,Andalucía (AN),2017,3.85,6.58,5.24
3,Aragón (AR),2017,12.5,17.83,15.2
4,"Asturias, Principado de (AS)",2017,14.07,19.28,16.79
5,"Balears, Illes (IB)",2017,13.82,20.98,17.44
6,Canarias (CN),2017,14.57,21.97,18.32
7,Cantabria (CB),2017,11.55,15.29,13.47
8,Castilla y León (CL),2017,10.75,14.56,12.69
9,Castilla - La Mancha (CM),2017,2.07,2.62,2.35
10,Cataluña (CT),2017,1.89,3.29,2.6
11,Comunitat Valenciana (VC),2017,12.13,17.32,14.76
12,Extremadura (EX),2017,2.25,2.93,2.59
13,Galicia (GA),2017,6.88,9.35,8.16
14,"Madrid, Comunidad de (MD)",2017,9.72,16.33,13.16
15,"Murcia, Región de (MC)",2017,11.82,18.3,15.05
16,"Navarra, C. Foral de (NC)",2017,8.42,9.61,9.02
17,País Vasco (PV),2017,5.51,7.11,6.33
18,La Rioja (RI),2017,14.15,18.21,16.21
1,España (ES),2018,7.68,11.5,9.63
2,Andalucía (AN),2018,3.9,6.72,5.33
3,Aragón (AR),2018,12.68,17.98,15.37
4,"Asturias, Principado de (AS)",2018,14.38,19.51,17.05
5,"Balears, Illes (IB)",2018,14.78,22.57,18.71
6,Canarias (CN),2018,15.34,22.8,19.12
7,Cantabria (CB),2018,11.99,15.88,14.0
8,Castilla y León (CL),2018,11.35,15.39,13.4
9,Castilla - La Mancha (CM),2018,2.01,2.59,2.3
10,Cataluña (CT),2018,1.98,3.48,2.74
11,Comunitat Valenciana (VC),2018,12.76,18.19,15.52
12,Extremadura (EX),2018,2.4,3.18,2.8
13,Galicia (GA),2018,7.48,10.03,8.8
14,"Madrid, Comunidad de (MD)",2018,9.56,15.79,12.8
15,"Murcia, Región de (MC)",2018,12.18,18.87,15.52
16,"Navarra, C. Foral de (NC)",2018,8.46,9.54,9.01
17,País Vasco (PV),2018,5.94,7.55,6.76
18,La Rioja (RI),2018,14.8,18.89,16.87
1,España (ES),2020,8.99,13.3,11.19
2,Andalucía (AN),2020,3.67,6.31,5.01
3,Aragón (AR),2020,12.23,17.33,14.82
4,"Asturias, Principado de (AS)",2020,14.57,19.77,17.29
5,"Balears, Illes (IB)",2020,16.14,24.6,20.4
6,Canarias (CN),2020,17.28,25.39,21.4
7,Cantabria (CB),2020,13.66,18.24,16.02
8,Castilla y León (CL),2020,12.34,16.34,14.38
9,Castilla - La Mancha (CM),2020,1.76,2.22,1.99
10,Cataluña (CT),2020,7.83,11.32,9.6
11,Comunitat Valenciana (VC),2020,12.35,18.0,15.23
12,Extremadura (EX),2020,2.63,3.6,3.12
13,Galicia (GA),2020,8.48,11.28,9.93
14,"Madrid, Comunidad de (MD)",2020,10.55,17.41,14.11
15,"Murcia, Región de (MC)",2020,12.76,19.72,16.23
16,"Navarra, C. Foral de (NC)",2020,8.55,9.75,9.16
17,País Vasco (PV),2020,6.85,8.56,7.72
18,La Rioja (RI),2020,15.29,19.8,17.57
1,España (ES),2021,11.34,16.39,13.91
2,Andalucía (AN),2021,9.13,13.96,11.59
3,Aragón (AR),2021,12.21,17.35,14.81
4,"Asturias, Principado de (AS)",2021,14.74,20.07,17.53
5,"Balears, Illes (IB)",2021,15.72,22.71,19.24
6,Canarias (CN),2021,19.57,27.98,23.84
7,Cantabria (CB),2021,14.12,19.04,16.65
8,Castilla y León (CL),2021,13.83,17.88,15.89
9,Castilla - La Mancha (CM),2021,2.31,3.27,2.79
10,Cataluña (CT),2021,12.29,17.47,14.92
11,Comunitat Valenciana (VC),2021,15.15,21.05,18.15
12,Extremadura (EX),2021,2.82,3.87,3.35
13,Galicia (GA),2021,9.01,11.98,10.55
14,"Madrid, Comunidad de (MD)",2021,10.89,17.89,14.53
15,"Murcia, Región de (MC)",2021,13.1,20.21,16.64
16,"Navarra, C. Foral de (NC)",2021,8.47,9.79,9.13
17,País Vasco (PV),2021,7.88,9.81,8.87
18,La Rioja (RI),2021,15.79,20.59,18.22
