id,Region,Año,Hombre,Mujer,Total
1,España (ES),2019,23.44,19.18,21.27
2,Andalucía (AN),2019,23.03,17.41,20.18
3,Aragón (AR),2019,22.15,20.31,21.22
4,"Asturias, Principado de (AS)",2019,30.76,28.21,29.43
5,"Balears, Illes (IB)",2019,15.75,12.4,14.07
6,Canarias (CN),2019,18.58,15.07,16.81
7,Cantabria (CB),2019,23.17,20.85,21.98
8,Castilla y León (CL),2019,28.81,24.11,26.44
9,Castilla - La Mancha (CM),2019,21.0,18.2,19.61
10,Cataluña (CT),2019,23.41,19.0,21.16
11,Comunitat Valenciana (VC),2019,24.54,19.45,21.96
12,Extremadura (EX),2019,26.8,21.3,24.03
13,Galicia (GA),2019,27.29,23.69,25.43
14,"Madrid, Comunidad de (MD)",2019,21.1,18.52,19.76
15,"Murcia, Región de (MC)",2019,22.87,17.35,20.11
16,"Navarra, C. Foral de (NC)",2019,23.73,18.15,20.9
17,País Vasco (PV),2019,26.97,21.17,23.97
18,La Rioja (RI),2019,26.27,19.94,23.06
19,Ceuta (CE),2019,16.12,14.4,15.27
20,Melilla (ML),2019,17.62,10.75,14.22
1,España (ES),2017,22.59,18.47,20.5
2,Andalucía (AN),2017,19.77,15.05,17.39
3,Aragón (AR),2017,23.99,19.31,21.62
4,"Asturias, Principado de (AS)",2017,32.23,27.81,29.92
5,"Balears, Illes (IB)",2017,16.46,11.8,14.13
6,Canarias (CN),2017,19.7,15.19,17.43
7,Cantabria (CB),2017,24.05,20.61,22.29
8,Castilla y León (CL),2017,23.88,20.53,22.2
9,Castilla - La Mancha (CM),2017,18.3,15.6,16.95
10,Cataluña (CT),2017,23.67,18.97,21.27
11,Comunitat Valenciana (VC),2017,26.21,20.51,23.32
12,Extremadura (EX),2017,22.68,20.41,21.53
13,Galicia (GA),2017,25.93,23.2,24.52
14,"Madrid, Comunidad de (MD)",2017,20.72,18.15,19.38
15,"Murcia, Región de (MC)",2017,21.26,17.07,19.17
16,"Navarra, C. Foral de (NC)",2017,24.19,18.21,21.17
17,País Vasco (PV),2017,27.36,21.67,24.43
18,La Rioja (RI),2017,22.7,21.37,22.02
19,Ceuta (CE),2017,13.89,13.4,13.65
20,Melilla (ML),2017,15.84,16.48,16.15
1,España (ES),2018,23.19,18.71,20.91
2,Andalucía (AN),2018,20.97,15.18,18.04
3,Aragón (AR),2018,23.6,19.61,21.58
4,"Asturias, Principado de (AS)",2018,34.02,30.84,32.36
5,"Balears, Illes (IB)",2018,16.92,11.85,14.39
6,Canarias (CN),2018,19.68,15.59,17.62
7,Cantabria (CB),2018,21.63,20.09,20.84
8,Castilla y León (CL),2018,28.09,22.99,25.51
9,Castilla - La Mancha (CM),2018,17.77,15.01,16.39
10,Cataluña (CT),2018,24.01,19.5,21.7
11,Comunitat Valenciana (VC),2018,25.62,19.47,22.5
12,Extremadura (EX),2018,24.36,20.38,22.36
13,Galicia (GA),2018,26.29,23.03,24.61
14,"Madrid, Comunidad de (MD)",2018,21.26,18.0,19.56
15,"Murcia, Región de (MC)",2018,21.75,16.52,19.14
16,"Navarra, C. Foral de (NC)",2018,25.3,20.29,22.76
17,País Vasco (PV),2018,27.5,23.58,25.48
18,La Rioja (RI),2018,24.96,20.51,22.74
19,Ceuta (CE),2018,13.91,13.89,13.9
20,Melilla (ML),2018,15.43,12.65,14.05
1,España (ES),2020,21.13,17.03,19.04
2,Andalucía (AN),2020,20.63,15.24,17.9
3,Aragón (AR),2020,21.19,18.0,19.57
4,"Asturias, Principado de (AS)",2020,28.27,27.84,28.05
5,"Balears, Illes (IB)",2020,14.72,11.48,13.1
6,Canarias (CN),2020,18.0,14.29,16.13
7,Cantabria (CB),2020,20.51,19.22,19.85
8,Castilla y León (CL),2020,25.88,21.08,23.45
9,Castilla - La Mancha (CM),2020,15.28,12.26,13.77
10,Cataluña (CT),2020,21.5,16.75,19.07
11,Comunitat Valenciana (VC),2020,21.91,17.05,19.44
12,Extremadura (EX),2020,25.73,18.96,22.32
13,Galicia (GA),2020,25.77,23.23,24.45
14,"Madrid, Comunidad de (MD)",2020,18.0,15.49,16.7
15,"Murcia, Región de (MC)",2020,22.2,16.99,19.59
16,"Navarra, C. Foral de (NC)",2020,20.14,17.08,18.59
17,País Vasco (PV),2020,25.35,20.76,22.98
18,La Rioja (RI),2020,24.21,16.96,20.53
19,Ceuta (CE),2020,17.88,14.94,16.43
20,Melilla (ML),2020,13.46,9.06,11.27
1,España (ES),2021,23.76,18.87,21.27
2,Andalucía (AN),2021,22.21,16.61,19.38
3,Aragón (AR),2021,27.91,22.37,25.1
4,"Asturias, Principado de (AS)",2021,31.27,27.4,29.25
5,"Balears, Illes (IB)",2021,17.62,12.56,15.09
6,Canarias (CN),2021,18.24,14.22,16.21
7,Cantabria (CB),2021,27.56,19.72,23.54
8,Castilla y León (CL),2021,28.66,23.09,25.84
9,Castilla - La Mancha (CM),2021,17.68,13.9,15.8
10,Cataluña (CT),2021,23.51,18.44,20.92
11,Comunitat Valenciana (VC),2021,26.04,19.83,22.89
12,Extremadura (EX),2021,24.56,20.33,22.43
13,Galicia (GA),2021,27.0,24.63,25.78
14,"Madrid, Comunidad de (MD)",2021,21.29,17.53,19.34
15,"Murcia, Región de (MC)",2021,26.14,18.68,22.42
16,"Navarra, C. Foral de (NC)",2021,22.68,18.99,20.81
17,País Vasco (PV),2021,30.33,25.64,27.91
18,La Rioja (RI),2021,27.84,19.03,23.37
19,Ceuta (CE),2021,15.06,13.18,14.13
20,Melilla (ML),2021,8.61,7.92,8.26
