id,Region,Año,Hombre,Mujer,Total
1,España (ES),2021,37.65,9.68,20.85
2,Andalucía (AN),2021,43.28,9.59,23.22
3,Aragón (AR),2021,38.36,8.21,20.4
4,"Asturias, Principado de (AS)",2021,37.67,11.15,21.16
5,"Balears, Illes (IB)",2021,46.49,10.38,25.19
6,Canarias (CN),2021,38.86,10.35,22.27
7,Cantabria (CB),2021,38.28,8.83,20.29
8,Castilla y León (CL),2021,28.07,6.25,15.22
9,Castilla - La Mancha (CM),2021,45.89,10.99,25.51
10,Cataluña (CT),2021,36.58,10.34,20.7
11,Comunitat Valenciana (VC),2021,37.28,10.88,21.63
12,Extremadura (EX),2021,42.96,7.51,21.81
13,Galicia (GA),2021,33.3,9.47,19.08
14,"Madrid, Comunidad de (MD)",2021,31.76,8.13,17.03
15,"Murcia, Región de (MC)",2021,52.1,12.18,28.4
16,"Navarra, C. Foral de (NC)",2021,30.76,8.81,17.74
17,País Vasco (PV),2021,36.28,11.27,20.88
18,La Rioja (RI),2021,30.28,6.52,15.67
19,Ceuta (CE),2021,54.24,35.4,42.2
20,Melilla (ML),2021,56.01,23.96,38.51
1,España (ES),2019,47.58,12.04,26.2
2,Andalucía (AN),2019,55.57,11.09,28.99
3,Aragón (AR),2019,42.97,12.82,25.3
4,"Asturias, Principado de (AS)",2019,51.35,12.7,26.94
5,"Balears, Illes (IB)",2019,49.82,13.74,28.31
6,Canarias (CN),2019,47.41,13.45,27.28
7,Cantabria (CB),2019,40.01,14.57,24.05
8,Castilla y León (CL),2019,39.51,9.86,22.1
9,Castilla - La Mancha (CM),2019,54.29,12.36,29.77
10,Cataluña (CT),2019,50.99,12.9,27.79
11,Comunitat Valenciana (VC),2019,45.95,12.56,26.05
12,Extremadura (EX),2019,56.6,7.38,27.78
13,Galicia (GA),2019,43.34,12.34,24.78
14,"Madrid, Comunidad de (MD)",2019,38.96,10.27,21.14
15,"Murcia, Región de (MC)",2019,64.01,12.56,33.64
16,"Navarra, C. Foral de (NC)",2019,38.9,12.93,23.19
17,País Vasco (PV),2019,37.9,13.19,22.8
18,La Rioja (RI),2019,38.59,11.39,22.16
19,Ceuta (CE),2019,51.97,10.84,29.51
20,Melilla (ML),2019,32.55,10.98,19.21
1,España (ES),2017,56.17,13.36,30.31
2,Andalucía (AN),2017,63.94,11.89,32.7
3,Aragón (AR),2017,55.97,13.02,30.61
4,"Asturias, Principado de (AS)",2017,57.24,12.62,28.68
5,"Balears, Illes (IB)",2017,51.8,19.14,32.31
6,Canarias (CN),2017,52.8,16.42,31.26
7,Cantabria (CB),2017,49.61,15.2,27.58
8,Castilla y León (CL),2017,43.68,8.95,23.42
9,Castilla - La Mancha (CM),2017,72.62,13.14,38.2
10,Cataluña (CT),2017,64.34,16.1,35.03
11,Comunitat Valenciana (VC),2017,53.31,13.01,29.34
12,Extremadura (EX),2017,56.91,7.02,27.23
13,Galicia (GA),2017,49.72,14.45,28.22
14,"Madrid, Comunidad de (MD)",2017,47.05,11.32,24.74
15,"Murcia, Región de (MC)",2017,73.42,13.73,37.82
16,"Navarra, C. Foral de (NC)",2017,53.39,14.35,30.09
17,País Vasco (PV),2017,43.66,15.09,25.82
18,La Rioja (RI),2017,42.98,8.76,22.62
19,Ceuta (CE),2017,60.51,6.98,28.84
20,Melilla (ML),2017,39.14,4.38,18.16
1,España (ES),2018,51.98,12.51,28.15
2,Andalucía (AN),2018,64.26,11.87,32.83
3,Aragón (AR),2018,45.46,12.5,25.92
4,"Asturias, Principado de (AS)",2018,53.74,14.77,29.21
5,"Balears, Illes (IB)",2018,51.07,13.79,28.64
6,Canarias (CN),2018,52.23,14.52,29.87
7,Cantabria (CB),2018,51.39,10.39,25.72
8,Castilla y León (CL),2018,37.99,9.22,20.96
9,Castilla - La Mancha (CM),2018,64.51,11.16,33.42
10,Cataluña (CT),2018,55.34,14.22,30.29
11,Comunitat Valenciana (VC),2018,49.15,13.93,28.22
12,Extremadura (EX),2018,60.71,8.54,29.6
13,Galicia (GA),2018,48.42,15.11,28.5
14,"Madrid, Comunidad de (MD)",2018,42.62,9.33,21.84
15,"Murcia, Región de (MC)",2018,64.6,12.96,34.03
16,"Navarra, C. Foral de (NC)",2018,45.82,9.82,23.95
17,País Vasco (PV),2018,41.0,12.09,22.95
18,La Rioja (RI),2018,34.14,15.64,22.99
19,Ceuta (CE),2018,34.87,8.02,17.89
20,Melilla (ML),2018,25.38,17.18,19.92
1,España (ES),2020,42.75,11.3,23.79
2,Andalucía (AN),2020,48.74,10.54,25.92
3,Aragón (AR),2020,41.59,11.76,24.03
4,"Asturias, Principado de (AS)",2020,44.33,11.4,23.96
5,"Balears, Illes (IB)",2020,49.76,12.35,27.36
6,Canarias (CN),2020,40.25,13.05,24.43
7,Cantabria (CB),2020,46.09,10.97,24.04
8,Castilla y León (CL),2020,36.43,8.37,19.74
9,Castilla - La Mancha (CM),2020,50.94,12.79,28.57
10,Cataluña (CT),2020,42.99,11.79,24.02
11,Comunitat Valenciana (VC),2020,43.6,12.91,25.25
12,Extremadura (EX),2020,52.69,8.46,26.45
13,Galicia (GA),2020,35.74,11.78,21.43
14,"Madrid, Comunidad de (MD)",2020,37.56,10.57,20.74
15,"Murcia, Región de (MC)",2020,53.86,8.9,27.07
16,"Navarra, C. Foral de (NC)",2020,44.43,8.48,22.75
17,País Vasco (PV),2020,32.85,12.16,20.14
18,La Rioja (RI),2020,24.06,9.48,15.02
19,Ceuta (CE),2020,65.48,11.66,34.27
20,Melilla (ML),2020,68.73,3.66,28.3
