id,Region,Año,Hombre,Mujer,Total
1,España (ES),2017,27.12,19.24,22.74
2,Andalucía (AN),2017,20.83,16.12,18.27
3,Aragón (AR),2017,30.96,20.98,25.37
4,"Asturias, Principado de (AS)",2017,26.0,17.02,20.76
5,"Balears, Illes (IB)",2017,22.73,16.63,19.48
6,Canarias (CN),2017,21.58,18.22,19.95
7,Cantabria (CB),2017,33.42,14.96,22.63
8,Castilla y León (CL),2017,23.49,15.71,19.22
9,Castilla - La Mancha (CM),2017,22.51,17.83,20.02
10,Cataluña (CT),2017,32.16,22.98,27.04
11,Comunitat Valenciana (VC),2017,29.26,22.11,25.42
12,Extremadura (EX),2017,28.2,20.2,23.83
13,Galicia (GA),2017,27.35,16.42,21.17
14,"Madrid, Comunidad de (MD)",2017,30.68,22.62,26.05
15,"Murcia, Región de (MC)",2017,26.14,21.04,23.48
16,"Navarra, C. Foral de (NC)",2017,20.29,11.67,15.42
17,País Vasco (PV),2017,28.85,15.49,21.09
18,La Rioja (RI),2017,30.44,22.03,25.72
19,Ceuta (CE),2017,24.84,16.66,20.06
20,Melilla (ML),2017,23.47,23.82,24.58
1,España (ES),2021,12.75,8.82,10.56
2,Andalucía (AN),2021,10.86,7.79,9.2
3,Aragón (AR),2021,16.04,9.73,12.49
4,"Asturias, Principado de (AS)",2021,18.46,12.8,15.26
5,"Balears, Illes (IB)",2021,9.37,5.95,7.49
6,Canarias (CN),2021,9.47,7.82,8.63
7,Cantabria (CB),2021,12.14,6.93,9.18
8,Castilla y León (CL),2021,13.18,8.4,10.54
9,Castilla - La Mancha (CM),2021,10.48,7.78,9.05
10,Cataluña (CT),2021,15.12,10.95,12.76
11,Comunitat Valenciana (VC),2021,13.19,9.8,11.37
12,Extremadura (EX),2021,19.1,16.28,17.69
13,Galicia (GA),2021,13.66,7.21,10.03
14,"Madrid, Comunidad de (MD)",2021,9.6,7.06,8.16
15,"Murcia, Región de (MC)",2021,8.92,7.39,8.13
16,"Navarra, C. Foral de (NC)",2021,6.71,4.35,5.29
17,País Vasco (PV),2021,16.71,9.32,12.4
18,La Rioja (RI),2021,16.78,9.93,12.9
19,Ceuta (CE),2021,6.21,2.95,4.6
20,Melilla (ML),2021,4.04,2.98,3.56
1,España (ES),2020,11.87,8.03,9.73
2,Andalucía (AN),2020,10.08,7.38,8.59
3,Aragón (AR),2020,12.24,7.4,9.5
4,"Asturias, Principado de (AS)",2020,13.3,7.99,10.25
5,"Balears, Illes (IB)",2020,7.12,4.08,5.46
6,Canarias (CN),2020,9.06,7.09,8.1
7,Cantabria (CB),2020,14.85,7.27,10.54
8,Castilla y León (CL),2020,10.9,7.32,8.94
9,Castilla - La Mancha (CM),2020,8.03,5.21,6.5
10,Cataluña (CT),2020,15.28,9.86,12.22
11,Comunitat Valenciana (VC),2020,13.87,10.16,11.84
12,Extremadura (EX),2020,17.73,13.82,15.82
13,Galicia (GA),2020,12.16,7.26,9.41
14,"Madrid, Comunidad de (MD)",2020,9.73,7.2,8.29
15,"Murcia, Región de (MC)",2020,9.81,6.65,8.08
16,"Navarra, C. Foral de (NC)",2020,4.42,3.22,3.73
17,País Vasco (PV),2020,14.35,8.18,10.75
18,La Rioja (RI),2020,14.79,10.29,12.25
19,Ceuta (CE),2020,6.23,2.58,4.46
20,Melilla (ML),2020,5.86,7.2,6.93
1,España (ES),2019,14.77,10.09,12.17
2,Andalucía (AN),2019,12.16,9.15,10.53
3,Aragón (AR),2019,15.82,10.15,12.63
4,"Asturias, Principado de (AS)",2019,15.93,8.98,11.82
5,"Balears, Illes (IB)",2019,7.85,4.76,6.19
6,Canarias (CN),2019,11.19,9.48,10.36
7,Cantabria (CB),2019,16.64,7.76,11.48
8,Castilla y León (CL),2019,14.32,9.43,11.65
9,Castilla - La Mancha (CM),2019,14.49,11.68,13.02
10,Cataluña (CT),2019,18.23,11.96,14.72
11,Comunitat Valenciana (VC),2019,16.96,12.5,14.52
12,Extremadura (EX),2019,19.51,16.8,18.2
13,Galicia (GA),2019,15.92,9.29,12.21
14,"Madrid, Comunidad de (MD)",2019,11.53,8.37,9.74
15,"Murcia, Región de (MC)",2019,13.09,9.66,11.25
16,"Navarra, C. Foral de (NC)",2019,7.36,3.82,5.35
17,País Vasco (PV),2019,18.74,9.91,13.54
18,La Rioja (RI),2019,13.97,9.14,11.36
19,Ceuta (CE),2019,5.36,2.6,3.97
20,Melilla (ML),2019,21.49,14.45,17.76
1,España (ES),2018,16.75,11.49,13.82
2,Andalucía (AN),2018,14.4,10.33,12.19
3,Aragón (AR),2018,19.48,12.52,15.59
4,"Asturias, Principado de (AS)",2018,16.08,9.8,12.43
5,"Balears, Illes (IB)",2018,11.4,7.39,9.19
6,Canarias (CN),2018,14.92,13.45,14.31
7,Cantabria (CB),2018,14.09,6.26,9.63
8,Castilla y León (CL),2018,15.24,10.88,12.84
9,Castilla - La Mancha (CM),2018,12.66,10.45,11.5
10,Cataluña (CT),2018,20.28,13.72,16.64
11,Comunitat Valenciana (VC),2018,19.86,14.92,17.16
12,Extremadura (EX),2018,22.62,18.27,20.45
13,Galicia (GA),2018,17.74,10.56,13.69
14,"Madrid, Comunidad de (MD)",2018,13.16,9.25,10.91
15,"Murcia, Región de (MC)",2018,14.67,10.89,12.6
16,"Navarra, C. Foral de (NC)",2018,9.92,5.75,7.49
17,País Vasco (PV),2018,21.72,10.83,15.31
18,La Rioja (RI),2018,19.1,8.85,13.42
19,Ceuta (CE),2018,4.85,2.75,3.86
20,Melilla (ML),2018,21.82,20.46,21.37
