id,Region,Año,Hombre,Mujer,Total
1,España (ES),2019,14.44,7.78,10.96
2,Andalucía (AN),2019,19.33,9.55,14.26
3,Aragón (AR),2019,14.24,7.88,10.92
4,"Asturias, Principado de (AS)",2019,16.3,8.82,12.32
5,"Balears, Illes (IB)",2019,12.29,5.59,8.86
6,Canarias (CN),2019,13.57,8.38,10.9
7,Cantabria (CB),2019,14.36,6.3,10.22
8,Castilla y León (CL),2019,10.63,6.11,8.34
9,Castilla - La Mancha (CM),2019,14.22,7.31,10.7
10,Cataluña (CT),2019,12.19,6.42,9.15
11,Comunitat Valenciana (VC),2019,14.92,8.74,11.7
12,Extremadura (EX),2019,15.24,10.01,12.65
13,Galicia (GA),2019,16.24,9.24,12.56
14,"Madrid, Comunidad de (MD)",2019,9.39,5.37,7.19
15,"Murcia, Región de (MC)",2019,18.29,7.84,12.8
16,"Navarra, C. Foral de (NC)",2019,10.13,5.63,7.82
17,País Vasco (PV),2019,13.71,7.52,10.43
18,La Rioja (RI),2019,14.2,12.14,13.12
19,Ceuta (CE),2019,17.27,25.28,21.59
20,Melilla (ML),2019,27.18,11.79,19.2
1,España (ES),2017,15.22,8.0,11.44
2,Andalucía (AN),2017,20.68,10.67,15.46
3,Aragón (AR),2017,14.33,7.02,10.55
4,"Asturias, Principado de (AS)",2017,16.55,5.24,10.51
5,"Balears, Illes (IB)",2017,13.44,6.54,9.93
6,Canarias (CN),2017,14.41,8.52,11.4
7,Cantabria (CB),2017,16.42,9.67,12.84
8,Castilla y León (CL),2017,10.21,5.76,7.96
9,Castilla - La Mancha (CM),2017,15.12,7.09,11.05
10,Cataluña (CT),2017,13.98,6.35,9.96
11,Comunitat Valenciana (VC),2017,16.89,9.1,12.82
12,Extremadura (EX),2017,18.56,7.41,12.94
13,Galicia (GA),2017,13.51,8.92,11.08
14,"Madrid, Comunidad de (MD)",2017,9.01,6.02,7.39
15,"Murcia, Región de (MC)",2017,16.44,8.25,12.14
16,"Navarra, C. Foral de (NC)",2017,13.32,8.33,10.76
17,País Vasco (PV),2017,14.29,7.47,10.68
18,La Rioja (RI),2017,15.69,9.86,12.76
19,Ceuta (CE),2017,28.9,6.93,17.34
20,Melilla (ML),2017,11.47,2.81,6.7
1,España (ES),2018,15.01,8.1,11.4
2,Andalucía (AN),2018,20.6,11.03,15.64
3,Aragón (AR),2018,11.47,8.5,9.97
4,"Asturias, Principado de (AS)",2018,11.41,8.05,9.61
5,"Balears, Illes (IB)",2018,13.2,5.79,9.42
6,Canarias (CN),2018,14.01,7.54,10.72
7,Cantabria (CB),2018,14.38,6.43,10.27
8,Castilla y León (CL),2018,12.14,7.69,9.91
9,Castilla - La Mancha (CM),2018,12.62,7.4,9.98
10,Cataluña (CT),2018,13.54,6.93,10.05
11,Comunitat Valenciana (VC),2018,17.56,8.77,12.98
12,Extremadura (EX),2018,15.39,7.57,11.35
13,Galicia (GA),2018,14.29,8.36,11.17
14,"Madrid, Comunidad de (MD)",2018,8.37,5.1,6.6
15,"Murcia, Región de (MC)",2018,20.51,9.17,14.62
16,"Navarra, C. Foral de (NC)",2018,14.59,8.2,11.37
17,País Vasco (PV),2018,14.24,7.89,10.89
18,La Rioja (RI),2018,16.61,6.96,11.73
19,Ceuta (CE),2018,30.59,8.41,19.87
20,Melilla (ML),2018,20.52,5.52,13.14
1,España (ES),2020,14.56,7.68,10.97
2,Andalucía (AN),2020,20.01,9.76,14.69
3,Aragón (AR),2020,11.33,8.3,9.77
4,"Asturias, Principado de (AS)",2020,15.93,7.3,11.36
5,"Balears, Illes (IB)",2020,9.99,7.02,8.42
6,Canarias (CN),2020,15.84,7.2,11.39
7,Cantabria (CB),2020,15.25,6.96,10.91
8,Castilla y León (CL),2020,10.17,5.87,8.01
9,Castilla - La Mancha (CM),2020,16.35,8.87,12.6
10,Cataluña (CT),2020,13.25,6.26,9.56
11,Comunitat Valenciana (VC),2020,15.04,8.69,11.71
12,Extremadura (EX),2020,16.84,7.72,12.25
13,Galicia (GA),2020,13.83,7.67,10.56
14,"Madrid, Comunidad de (MD)",2020,10.39,5.7,7.86
15,"Murcia, Región de (MC)",2020,17.52,8.9,13.06
16,"Navarra, C. Foral de (NC)",2020,10.07,6.18,8.12
17,País Vasco (PV),2020,12.04,8.8,10.31
18,La Rioja (RI),2020,15.02,9.57,12.27
19,Ceuta (CE),2020,20.33,10.87,15.79
20,Melilla (ML),2020,13.26,12.44,12.76
1,España (ES),2021,14.19,7.64,10.21
2,Andalucía (AN),2021,19.37,9.67,14.34
3,Aragón (AR),2021,11.76,8.79,10.21
4,"Asturias, Principado de (AS)",2021,17.61,6.63,11.78
5,"Balears, Illes (IB)",2021,9.61,6.32,7.86
6,Canarias (CN),2021,15.34,7.74,11.44
7,Cantabria (CB),2021,13.86,5.7,9.64
8,Castilla y León (CL),2021,12.05,5.18,8.61
9,Castilla - La Mancha (CM),2021,12.69,7.39,9.99
10,Cataluña (CT),2021,11.86,6.89,9.25
11,Comunitat Valenciana (VC),2021,17.45,8.3,12.69
12,Extremadura (EX),2021,17.21,9.64,13.41
13,Galicia (GA),2021,11.99,8.98,10.41
14,"Madrid, Comunidad de (MD)",2021,9.83,5.34,7.39
15,"Murcia, Región de (MC)",2021,13.54,6.72,10.05
16,"Navarra, C. Foral de (NC)",2021,12.93,6.08,9.38
17,País Vasco (PV),2021,12.4,8.78,10.49
18,La Rioja (RI),2021,9.39,7.64,8.48
19,Ceuta (CE),2021,34.18,13.54,24.1
20,Melilla (ML),2021,15.95,0.0,7.85
